key,                        name,                       group,    sort,   skill,    price,  dura,   min_int, min_dex, min_str, hit,    dam,
-------------------------------------------------------------------------------------------------------------------------------------------
basic_mozes_sword,          Mozes' Sword,               WEAPON,   1000,   SWORD,    30,     25,     0,       0,       10,      90,     6,
basic_fairy_sword,          Fairy Sword,                WEAPON,   1001,   SWORD,    30,     20,     0,       11,      0,       85,     7,
basic_orc_sword,            Orc Sword,                  WEAPON,   1002,   SWORD,    30,     20,     0,       0,       11,      80,     8,

basic_mozes_axe,            Mozes' Axe,                 WEAPON,   1198,   AXE,      30,     25,     0,       0,       10,      75,     8,
basic_orc_axe,              Orc Axe,                    WEAPON,   1199,   AXE,      30,     20,     0,       0,       11,      70,     10,

basic_mozes_bow,            Mozes' Bow,                 WEAPON,   1498,   BOW,      30,     15,     0,       10,      0,       80,     4,
basic_elven_bow,            Elven Bow,                  WEAPON,   1499,   BOW,      30,     10,     11,      0,       0,       75,     6,


basic_sword,                Basic Sword,                WEAPON,   1003,   SWORD,    10,     30,     0,       0,       10,      80,     10,
fine_sword,                 Fine Sword,                 WEAPON,   2000,   SWORD,    30,     25,     0,       0,       15,      70,     15,
specialist_sword,           Specialist Sword,           WEAPON,   3000,   SWORD,    50,     20,     0,       0,       20,      60,     20,
masterwork_sword,           Masterwork Sword,           WEAPON,   4000,   SWORD,    70,     15,     0,       0,       25,      50,     25,

basic_spear,                Basic Spear,                WEAPON,   1100,   SPEAR,    12,     30,     0,       0,       11,      75,     12,
fine_spear,                 Fine Spear,                 WEAPON,   2100,   SPEAR,    36,     25,     0,       0,       16,      65,     17,
specialist_spear,           Specialist Spear,           WEAPON,   3100,   SPEAR,    60,     20,     0,       0,       21,      55,     22,
masterwork_spear,           Masterwork Spear,           WEAPON,   4100,   SPEAR,    84,     15,     0,       0,       26,      45,     27,

basic_axe,                  Basic Axe,                  WEAPON,   1200,   AXE,      14,     30,     0,       0,       12,      70,     14,
fine_axe,                   Fine Axe,                   WEAPON,   2200,   AXE,      42,     25,     0,       0,       17,      60,     19,
specialist_axe,             Specialist Axe,             WEAPON,   3200,   AXE,      70,     20,     0,       0,       22,      50,     24,
masterwork_axe,             Masterwork Axe,             WEAPON,   4200,   AXE,      98,     15,     0,       0,       27,      40,     29,
epic_axe,                   Epic Axe,                   WEAPON,   5200,   AXE,      126,    10,     0,       0,       30,      30,     34,


basic_dagger,               Basic Dagger,               WEAPON,   1300,   DAGGER,   8,      30,     0,       8,       0,       85,     8,
fine_dagger,                Fine Dagger,                WEAPON,   2300,   DAGGER,   24,     25,     0,       12,      0,       75,     13,
specialist_dagger,          Specialist Dagger,          WEAPON,   3300,   DAGGER,   40,     20,     0,       16,      0,       65,     18,
masterwork_dagger,          Masterwork Dagger,          WEAPON,   4300,   DAGGER,   56,     15,     0,       20,      0,       55,     23,

basic_knife,                Basic Knife,                WEAPON,   1400,   THROW,    8,      30,     0,       12,      0,       75,     8,
fine_knife,                 Fine Knife,                 WEAPON,   2400,   THROW,    24,     25,     0,       16,      0,       65,     13,
specialist_knife,           Specialist Knife,           WEAPON,   3400,   THROW,    40,     20,     0,       20,      0,       55,     18,
masterwork_knife,           Masterwork Knife,           WEAPON,   4400,   THROW,    56,     15,     0,       24,      0,       45,     23,

basic_bow,                  Basic Bow,                  WEAPON,   1500,   BOW,      16,     30,     0,       12,      0,       70,     8,
fine_bow,                   Fine Bow,                   WEAPON,   2500,   BOW,      48,     25,     0,       18,      0,       60,     13,
specialist_bow,             Specialist Bow,             WEAPON,   3500,   BOW,      80,     20,     0,       24,      0,       50,     18,
masterwork_bow,             Masterwork Bow,             WEAPON,   4500,   BOW,      112,    15,     0,       30,      0,       40,     23,


basic_staff_wind,           Basic Wind Staff,           WEAPON,   1600,   STAFF,    10,     30,     15,      0,       0,       85,     7,
fine_staff_wind,            Fine Wind Staff,            WEAPON,   2600,   STAFF,    36,     25,     18,      0,       0,       75,     12,
specialist_staff_wind,      Specialist Wind Staff,      WEAPON,   3600,   STAFF,    62,     20,     21,      0,       0,       65,     17,
masterwork_staff_wind,      Masterwork Wind Staff,      WEAPON,   4600,   STAFF,    88,     15,     24,      0,       0,       55,     22,
epic_staff_wind,            Epic Wind Staff,            WEAPON,   5600,   STAFF,    114,    10,     27,      0,       0,       45,     27,
legendary_staff_wind,       Legendary Wind Staff,       WEAPON,   6600,   STAFF,    140,    5,      30,      0,       0,       35,     32,

basic_staff_fire,           Basic Fire Staff,           WEAPON,   1700,   STAFF,    10,     30,     15,      0,       0,       80,     8,
fine_staff_fire,            Fine Fire Staff,            WEAPON,   2700,   STAFF,    36,     25,     18,      0,       0,       70,     13,
specialist_staff_fire,      Specialist Fire Staff,      WEAPON,   3700,   STAFF,    62,     20,     21,      0,       0,       60,     18,
masterwork_staff_fire,      Masterwork Fire Staff,      WEAPON,   4700,   STAFF,    88,     15,     24,      0,       0,       50,     23,
epic_staff_fire,            Epic Fire Staff,            WEAPON,   5700,   STAFF,    114,    10,     27,      0,       0,       40,     28,
legendary_staff_fire,       Legendary Fire Staff,       WEAPON,   6700,   STAFF,    140,    5,      30,      0,       0,       30,     33,

basic_staff_thunder,        Basic Thunder Staff,        WEAPON,   1800,   STAFF,    10,     30,     15,      0,       0,       75,     9,
fine_staff_thunder,         Fine Thunder Staff,         WEAPON,   2800,   STAFF,    36,     25,     18,      0,       0,       65,     14,
specialist_staff_thunder,   Specialist Thunder Staff,   WEAPON,   3800,   STAFF,    62,     20,     21,      0,       0,       55,     19,
masterwork_staff_thunder,   Masterwork Thunder Staff,   WEAPON,   4800,   STAFF,    88,     15,     24,      0,       0,       45,     24,
epic_staff_thunder,         Epic Thunder Staff,         WEAPON,   5800,   STAFF,    114,    10,     27,      0,       0,       35,     29,
legendary_staff_thunder,    Legendary Thunder Staff,    WEAPON,   6800,   STAFF,    140,    5,      30,      0,       0,       25,     34,
